main_service,sub_service,description
기구설계,,"제품의 기계적 구조와 움직임을 설계하는 과정으로, 3D CAD 모델링을 통해 부품의 형태, 조립, 작동 방식 등을 구체화합니다."
제품 디자인,,"제품의 외관, 형태, 색상, 재질 등 시각적인 요소를 설계하는 과정으로, 사용자의 편의성과 심미성을 고려하여 제품의 가치를 높이는 역할을 합니다."
전자회로(pcb),,"제품의 전자적 기능을 담당하는 인쇄 회로 기판(PCB)을 만드는 과정의 총칭입니다. 회로 설계부터 기판 제작, 부품 실장(SMT)까지 포함됩니다."
전자회로(pcb),설계,"PCB 회로 설계는 전자 부품의 배치와 배선을 계획하여 회로의 성능과 안정성을 결정하는 중요한 첫 단계입니다."
전자회로(pcb),제작,"PCB 제작은 설계된 회로도를 바탕으로 실제 인쇄 회로 기판을 물리적으로 만드는 공정입니다."
전자회로(pcb),SMT/PCB 조립,"SMT(표면 실장 기술)는 PCB 위에 전자 부품을 자동으로 납땜하여 실장하는 공정으로, 대량 생산에 필수적입니다."
SW 개발 / IT 서비스,,"제품에 내장되거나(임베디드), 공장을 자동화하거나(스마트 팩토리), 사용자를 위한 웹/앱을 만드는 등 다양한 프로그램을 개발하는 서비스입니다."
SW 개발 / IT 서비스,스마트 팩토리 SW개발,"제조 공정을 자동화하고 데이터를 수집/분석하여 생산 효율을 극대화하는 공장 자동화 소프트웨어를 개발합니다."
SW 개발 / IT 서비스,임베디드 SW개발,"특정 하드웨어 장치에 내장되어 정해진 기능을 수행하는 펌웨어 또는 시스템 소프트웨어를 개발합니다."
SW 개발 / IT 서비스,웹/앱 개발,"사용자가 웹 브라우저나 모바일 기기에서 직접 상호작용할 수 있는 웹사이트 또는 애플리케이션을 개발합니다."
시험분석/시뮬레이션,,"제품이 실제 환경에서 문제없이 작동하는지 미리 검증하는 과정입니다. 구조 해석(FEA), 유동 해석(CFD), 신뢰성 시험 등이 있습니다."
