project_description,main_service,sub_service,material
정밀 가공 스테인리스 샤프트,절삭(CNC),선반,스테인리스
고강도 탄소섬유 복합재 패널,금형/사출성형,성형,탄소섬유
내열성 실리콘 고무 개스킷,금형/사출성형,LIM(액상사출/실리콘사출),실리콘 고무
방수형 산업용 센서 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
초정밀 CNC 가공 알루미늄 블록,절삭(CNC),머시닝센터,알루미늄
자동차용 단조 스틸 크랭크축,단조(forging),형 단조,스틸
전자기 차폐용 구리 포일,압연(rolling),냉간 압연,구리
의료기기용 생체 적합성 폴리머 부품,금형/사출성형,일반사출,폴리머
방진 방수형 전기 커넥터,조립,해당 없음,해당 없음
고성능 세라믹 베어링,열처리,비철/특수금속 열처리,세라믹
광학 등급 아크릴 렌즈,금형/사출성형,일반사출,아크릴
중장비용 유압 실린더 피스톤,절삭(CNC),선반,강철
항공우주 등급 티타늄 합금 볼트,전조(form rolling),나사 전조,티타늄 합금
산업용 내마모성 폴리우레탄 롤러,플라스틱 성형,기타 플라스틱 성형,폴리우레탄
방폭형 LED 조명 모듈,전자회로(pcb),SMT/PCB 조립,해당 없음
고정밀 주조 알루미늄 하우징,주조,금형주조(다이캐스팅),알루미늄
PCB 실장용 SMD 저항기,전자회로(pcb),SMT/PCB 조립,해당 없음
건설용 고장력 강철 빔,압연(rolling),열간 압연,강철
식품 등급 스테인리스 스틸 파이프,인발(drawing),관재,스테인리스 스틸
전기차용 고밀도 리튬 이온 배터리 팩,조립,해당 없음,해당 없음
투명 방탄 폴리카보네이트 시트,압출,직접 압출,폴리카보네이트
자동화 라인용 정밀 위치 제어 모터,조립,해당 없음,해당 없음
반도체 장비용 진공 밀봉 개스킷,금형/사출성형,LIM(액상사출/실리콘사출),실리콘
통신 장비용 RF 동축 케이블,압출,직접 압출,해당 없음
풍력 터빈용 대형 기어박스 부품,단조(forging),열간 단조,강철
의료용 멸균 포장재 필름,압출,직접 압출,플라스틱
사출 성형 ABS 플라스틱 케이스,금형/사출성형,일반사출,ABS 플라스틱
해양 환경용 내식성 합금 밸브,주조,인베스트먼트주조,합금
반도체 웨이퍼 이송용 로봇 암,조립,해당 없음,해당 없음
